sde_xAl,sde_xIn,sde_tRecess,sde_AlN1,sde_AlN2,Vth,Ion,ON_OFF_Ratio,SS
0.2,0.3,0.057,0,1,3.466709097,0.038758113,1.03672E+11,150.9215329
0.2,0.3,0.05,1,0,9.314370739,0.018796133,26718424929,204.2671933
0.2,0.3,0.05,1,1,10.33958066,0.017765293,19431649829,161.8625929
0.2,0.3,0.05,0,0,6.791527166,0.030163739,32988387709,123.9927696
0.2,0.3,0.05,0,1,8.096348616,0.022103426,35081893149,159.8506409
0.2,0.08,0.055,1,0,0.81818508,0.034529035,1.06621E+11,128.879688
0.2,0.08,0.055,1,1,1.597553473,0.032984183,90600492523,144.7267557
0.2,0.08,0.055,0,0,-0.753831572,0.034448637,83573669470,120.3344792
0.2,0.08,0.055,0,1,-0.03729033,0.036106699,1.32543E+11,136.052026
0.2,0.08,0.057,1,0,0.232466404,0.040328033,1.15563E+11,115.5544043
0.2,0.08,0.057,1,1,0.779425389,0.040442112,1.09031E+11,141.4416457
0.2,0.08,0.057,0,0,-1.024602837,0.037354288,89249106955,120.9450994
0.2,0.08,0.057,0,1,-0.428414067,0.040395344,1.43097E+11,111.6839068
0.2,0.08,0.05,1,0,2.48765031,0.023397142,81125899797,149.2167819
0.2,0.08,0.05,1,1,3.702302104,0.022165386,63873833712,161.7391125
0.2,0.08,0.05,0,0,-0.066808048,0.028084509,67699417391,112.6945716
0.2,0.08,0.05,0,1,1.144254594,0.02527651,98420088316,135.8365826
0.16,0.18,0.055,1,0,2.603488049,0.034006544,82593465985,145.3283013
0.16,0.18,0.055,1,1,3.445757893,0.031717597,90471220629,145.26473
0.16,0.18,0.055,0,0,1.294488523,0.041564405,80201404265,121.9101369
0.16,0.18,0.055,0,1,1.697320179,0.039021914,78306785993,136.6921921
0.16,0.18,0.057,1,0,1.664494693,0.041305938,96770228271,136.0217658
0.16,0.18,0.057,1,1,2.299855923,0.039097256,1.08849E+11,147.5016758
0.16,0.18,0.057,0,0,0.597228096,0.047431454,90979293164,118.5918516
0.16,0.18,0.057,0,1,0.920948122,0.045985715,91348412720,131.6699301
0.16,0.18,0.05,1,0,5.032141129,0.023365171,75452235799,147.233254
0.16,0.18,0.05,1,1,6.242667064,0.022461326,48701809800,155.3545712
0.16,0.18,0.05,0,0,3.026882812,0.032931577,66262415177,129.2208718
0.16,0.18,0.05,0,1,3.679571718,0.028532751,71383415107,133.2119382
0.16,0.1,0.055,1,0,0.81900914,0.035349182,99059403239,124.1177138
0.16,0.1,0.055,1,1,1.698758602,0.033450848,1.13513E+11,128.0880623
0.16,0.1,0.055,0,0,-0.496354485,0.036682892,79531653850,111.3449213
0.16,0.1,0.055,0,1,-0.054195175,0.037426167,84822969242,125.1368352
0.16,0.1,0.057,1,0,0.213930405,0.041588203,1.11995E+11,130.1543314
0.16,0.1,0.057,1,1,0.849823644,0.041218774,1.36344E+11,133.8529517
0.16,0.1,0.057,0,0,-0.831698003,0.039250004,85430069879,112.8626389
0.16,0.1,0.057,0,1,-0.486605183,0.042200239,1.04552E+11,112.2916549
0.16,0.1,0.05,1,0,2.453190784,0.02394259,73726172365,152.0285185
0.16,0.1,0.05,1,1,3.738797648,0.023412834,83705681923,154.7676869
0.16,0.1,0.05,0,0,0.524602276,0.029515021,64365049497,118.5289703
0.16,0.1,0.05,0,1,1.097323956,0.027616621,63587390180,135.4176398
0.16,0.12,0.055,1,0,1.280325793,0.035014093,97124494959,137.6851411
0.16,0.12,0.055,1,1,2.103384157,0.033675954,1.13095E+11,143.800823
0.16,0.12,0.055,0,0,-0.047833524,0.038816182,82491476287,96.33918469
0.16,0.12,0.055,0,1,0.374715386,0.038222421,85446516620,126.6495912
0.16,0.12,0.057,1,0,0.54015771,0.042552909,1.13802E+11,134.8366927
0.16,0.12,0.057,1,1,1.211169515,0.041076889,1.34161E+11,137.770436
0.16,0.12,0.057,0,0,-0.503676908,0.042434632,90206801739,113.2447947
0.16,0.12,0.057,0,1,-0.126688015,0.04350646,97514654977,108.8520939
0.16,0.12,0.05,1,0,3.133672962,0.023742016,72351765123,136.6641976
0.16,0.12,0.05,1,1,4.398650797,0.023105123,81784919953,143.1028157
0.16,0.12,0.05,0,0,1.182358218,0.030208726,65707255014,114.4592033
0.16,0.12,0.05,0,1,1.733923301,0.027989603,63888387486,145.2214017
0.16,0.14,0.055,1,0,1.729561133,0.034660463,93971567725,123.4621141
0.16,0.14,0.055,1,1,2.573104532,0.032909888,97678102616,124.2895486
0.16,0.14,0.055,0,0,0.426026185,0.039973778,82202208188,117.8449995
0.16,0.14,0.055,0,1,0.817935937,0.038741795,84381844093,116.9187779
0.16,0.14,0.057,1,0,0.913839922,0.042528319,1.04871E+11,134.8440088
0.16,0.14,0.057,1,1,1.562861958,0.040789767,1.16452E+11,138.7634659
0.16,0.14,0.057,0,0,-0.138844832,0.044774477,89168227833,116.4056294
0.16,0.14,0.057,0,1,0.160613576,0.045292076,94117987656,130.2497572
0.16,0.14,0.05,1,0,3.739572039,0.024034875,75074973793,154.6672479
0.16,0.14,0.05,1,1,5.017278989,0.023002393,80713423054,136.5715356
0.16,0.14,0.05,0,0,1.771074369,0.031535539,67385254123,126.3982535
0.16,0.14,0.05,0,1,2.39262252,0.02829617,64335476498,138.0321672
0.16,0.16,0.055,1,0,2.160292591,0.034481353,84713151457,142.4662472
