Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
4.968768454659975e-13,5.454560799685488e-13,6.2824792337938e-13,2.836758508962519e-13,5.384350552544245e-13,2.631467091873104e-13,3.5390731500825857e-13
4.672330804772411e-13,5.651635978360048e-13,9.054424775385548e-13,4.61994960553026e-13,5.633621669407847e-13,4.332165192602894e-13,3.2366643924061665e-13
4.2977631469778214e-13,5.452048932042883e-13,8.47453727174991e-13,4.574571658396719e-13,5.431476415137897e-13,4.121486677286035e-13,3.676615081434158e-13
3.858552698316932e-13,5.666206261537415e-13,3.7677815219225473e-13,4.5150747834749686e-13,5.663292834450634e-13,3.493893193201256e-13,3.164940018295548e-13
2.73901237721958e-13,5.386163674311242e-13,5.571400657935798e-13,4.648712302060201e-13,2.9540765821858e-13,4.1607768900767e-13,4.561501059623878e-13
3.803727355294273e-13,2.514147197301708e-13,7.142305824984466e-13,4.3332240775782166e-13,5.189359484304635e-13,3.947424269294824e-13,3.337089127785189e-13
2.069345564243732e-12,4.085994740586577e-13,6.354719590115432e-13,4.642825104470358e-13,3.746130365363329e-13,3.410463089279224e-13,3.7006231591623706e-13
4.60442110898359e-13,3.78247576809727e-13,9.181839850424673e-13,4.709123844119444e-13,4.237098111404263e-13,4.269481866208793e-13,3.3271637308642897e-13
2.8852708901302923e-13,4.931014976778133e-13,8.535493310948751e-13,4.571207532649132e-13,3.095265489692592e-13,3.341985260468472e-13,4.56298015094486e-13
2.647847008993453e-13,3.238612438337832e-13,4.829584831461499e-13,4.67427269109429e-13,3.0535769709764245e-13,4.622519077286423e-13,4.864735077167171e-13
1.8900340706529515e-12,3.10579735637748e-13,3.4448563603064333e-13,4.674438476067518e-13,3.5712486486831026e-13,4.3019723697833e-13,3.4288212978859775e-13
3.872837531691874e-13,3.5683601361586694e-13,5.292846035854624e-13,4.990453658038879e-13,3.319427161010274e-13,2.71019598266748e-13,4.048458202855637e-13
3.9082958061657773e-13,3.074704351784039e-13,4.876654911447808e-13,5.015217869900515e-13,3.0594436674107794e-13,1.7487706157948696e-12,3.692832622110284e-13
3.613121856955066e-13,4.040504295472865e-13,5.336610087506619e-13,4.0173281690175353e-13,3.6663352456398023e-13,2.92960706435842e-13,5.187497563198021e-13
2.1162505091711133e-12,3.637306601502887e-13,4.963638965411173e-13,4.317224667977792e-13,3.678066231725246e-13,1.9270307487221075e-12,5.187930798746605e-13
3.562039367091061e-13,5.030481181444816e-13,5.4644642590833e-13,3.9779560462313457e-13,4.652821851599478e-13,2.935553040600039e-13,3.846779936095377e-13
4.457873504093476e-13,3.7672906177234724e-13,6.342895926263237e-13,4.059314980428356e-13,3.7449452248595097e-13,3.2343894523686445e-13,5.411199680857447e-13
2.251942285439204e-12,4.108553907042293e-13,2.7346202173677414e-13,2.917914626358564e-13,4.196658543050278e-13,2.718807952853514e-13,3.236304334962435e-13
5.247625368619635e-13,3.988221429819249e-13,4.152702394762979e-13,4.3285828972006043e-13,3.724048639382325e-13,2.1604061573530672e-12,3.472406948450075e-13
4.482942379432201e-13,4.590739142378434e-13,6.929052867847681e-13,4.1107746561463283e-13,5.26214995382819e-13,2.6297435076378813e-13,3.1569516578670255e-13
4.615195595994683e-13,5.540383626341269e-13,6.615289232522606e-13,4.213247223089261e-13,4.318641433335802e-13,4.111118873788016e-13,2.784664005672828e-13
3.9083328968003833e-13,4.645883251934696e-13,3.207272909830099e-13,4.168700047876869e-13,3.9657384500022523e-13,2.3402968702671442e-12,5.002110257161292e-13
3.7901104599247913e-13,4.2036008851025323e-13,5.319024262839057e-13,4.631201679252365e-13,5.550392376961848e-13,3.7574385744810617e-13,2.9876667067118084e-13
1.6984652481921625e-12,5.502474436757377e-13,4.211311080796991e-13,4.4830641065407253e-13,5.588926963794967e-13,4.2156576533777897e-13,3.4567772790442505e-13
3.81344195684631e-13,4.2257542403007574e-13,7.044918547479294e-13,4.677662281119379e-13,4.176424884568702e-13,3.71292964850357e-13,3.066445017151584e-13
4.1131919201462723e-13,5.682534355053888e-13,6.642252513269568e-13,4.499249385135313e-13,5.64704804170496e-13,4.226495184062346e-13,4.288373498113917e-13
3.07748177691696e-13,4.180974115161331e-13,9.102491379261588e-13,4.682849118205478e-13,5.654600168289196e-13,3.427784067856169e-13,4.4179316028996963e-13
3.161975412625164e-12,5.665361401364969e-13,6.430095493728097e-13,4.688729826905772e-13,3.067919027127787e-13,2.389433623031928e-12,3.0223315764438505e-13
2.69097259686791e-13,3.492991046931277e-13,3.846090219749708e-13,4.550606784047595e-13,2.940351024981684e-13,3.367770990534117e-13,3.490714399935918e-13
