Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
,86039638036.34938,32149447148.11146,,89338352762.21455,61834381467.25002,121837296462.39925
,103286077376.89,70915411704.05742,,11470978501.076357,8358788191.297788,138035684441.35535
,10486762358.85004,29320459828.704803,,85570701555.4609,99264603008.56578,143559367513.44662
,96431530254.08836,32082785305.207275,,119968281036.07132,59362670979.52589,128573984507.90102
,78699044274.70836,34457123596.53062,,105373544424.3503,7948200240.985028,122607064677.97432
,112030502761.307,31269120796.27025,,11228186110.787231,97135750070.38318,131444474095.82736
,92117295706.81052,36753005661.72126,,84385965619.24754,56295010099.80049,131533415085.7408
,103793849819.36536,4793526843.314869,,113507614428.18408,90006643842.88135,100349003463.05856
,103005247357.7446,7174085706.400082,,91764787134.36108,7303457737.580846,147016392511.36255
,99655513685.56355,5041840278.485255,,97906205821.86324,83365846111.55495,97917020539.80368
,99751498890.66277,39569634616.42725,,88548569871.99374,81930743686.38339,96497976765.56863
,98266588442.22528,4866217958.111553,,120830271221.36069,89521278261.85594,91783095645.1571
,100860336519.15152,36051339797.775055,,109717040065.39922,81310530655.75288,90352864675.0116
,78939476350.32768,3762403723.413586,,104158800683.9045,84619677328.1038,95740357374.18823
,9820804256.04665,52043149891.19376,,91225682958.9546,87539346865.82869,123283174391.87347
,9353757810.333595,29017104079.86848,,10011552438.254974,87356736912.02702,140971087321.97726
,81362824299.82784,3628138730.273696,,98522859777.1522,87670838830.11975,65050513577.85917
,9208981167.30575,50081651495.52764,,102822893675.5074,84096007283.62459,65431158845.907845
,89539003731.07466,7617012161.545859,,122518507535.69844,91803173962.62157,96712950112.07266
,70723280415.88147,27044195298.311768,,119930287454.48682,91788621074.87411,107584786170.7796
,10636388971.520144,3523301015.573932,,81568112987.3582,81920754502.05148,141575820453.45203
,95568588288.54492,95391219778.89153,,123728106797.28836,85156933011.61429,66955676007.90215
,103018955464.76009,47189021632.03684,,100364103108.88876,80392558201.84915,66849761154.23915
,82477620915.13953,55480130216.60122,,11058044371.900764,84513704335.98636,95022020576.69794
,10257907889.961636,5291587389.128882,,88500012459.56078,86774267961.1276,82831887113.73463
,102099617915.06032,24818339302.8268,,122339637284.82304,,82176509961.36552
,71381653407.05197,3346772011.2533364,,95214834810.74,,102323397637.04507
,112249041636.94933,47617705522.662834,,10847094915.922709,,125458327434.52948
,97817398088.1022,36442193240.55271,,116283728800.1728,,80583038820.97327
,102619425659.11417,52465554752.77475,,112507949969.64816,,79001792735.21013
,105812141974.17596,5064201380.747038,,84457211649.14412,,99880970625.17392
,103415020239.5732,23248485275.414192,,126686615578.31767,,90373559636.99574
,101806446131.61876,3236949553.502467,,106201734410.88144,,89254611191.83498
,100476636162.13708,38330389888.82736,,123718546118.32806,,90151791816.80203
,66177390562.07896,34498414176.40555,,116996009012.20988,,88721621602.67278
,66213092944.55353,36212851973.057625,,108982686914.62038,,130202714508.73592
,91080968706.87082,4761293194.308502,,83492646895.64134,,142427067433.9482
,75059494134.93208,83389577165.30939,,9749169277.499228,,83472545104.13991
,102352773135.29988,7800756098.655557,,11382835875.549725,,
,64302152215.79322,22099091725.316875,,83796804167.88774,,
,64323972700.69603,3117096080.776759,,81059047095.16551,,
,83366865604.29514,35749607574.22963,,79608006775.97725,,
,76946114093.23589,33536705545.255264,,117469404247.976,,
,103060388083.06464,33755179893.39004,,74653290085.83406,,
,76329379387.08104,4675384624.351914,,119988238893.172,,
,75414956122.6287,79879067975.146,,74891720735.26552,,
,86153684878.47093,7014730304.289832,,111685153894.80272,,
,98268140770.40752,56406036350.239296,,67980880686.91651,,
,75976389912.46638,4915976696.580413,,67531143182.80889,,
